Jana Paw³a II
Koœciuszki
Mickiewicza
Sienkiewicza
S³owackiego
Kopernika
¯eromskiego
Prusa
Chopina
Sikorskiego
Reymonta
Pi³sudskiego
Kochanowskiego
Reja
Witosa
Kiliñskiego
Moniuszki
Boles³awa Chrobrego
Wyszyñskiego
Matejki
D¹browskiego
Norwida
Asnyka
Wyspiañskiego
Paderewskiego
Broniewskiego
Bema
